Book Title,ISBN,Amazon URL,GoodReads Description,Wikipedia Description,Readgeek Description,Riffle Description,Amazon Description
Good Wives,9781419122125,https://www.goodreads.com/buy_buttons/12/follow?book_id=78960&ref=x_gr_w_bb&tag=x_gr_w_bb-20,"NOTE: Little Women is sometimes published in two volumes, entitled Little Women and Good Wives.Amy looked relieved, but naughty Jo took her at her word, for during the first call she sat with every limb gracefully composed, every fold correctly draped, calm as a summer sea, cool as a snowbank, and as silent as the sphinx. In vain Mrs. Chester alluded to her 'charming novel', and the Misses Chester introduced parties, picnics, the opera, and the fashions. Each and all were answered by a smile, a bow, and a demure ""Yes"" or ""No"" with the chill on.",,,"This scarce antiquarian book is a facsimile reprint of the original. Due to its age, it may contain imperfections such as marks, notations, marginalia and flawed pages. Because we believe this work is culturally important, we have made it available as part of our commitment for protecting, preserving, and promoting the world's literature in affordable, high quality, modern editions that are true to the original work.","This scarce antiquarian book is a facsimile reprint of the original. Due to its age, it may contain imperfections such as marks, notations, marginalia and flawed pages. Because we believe this work is culturally important, we have made it available as part of our commitment for protecting, preserving, and promoting the world's literature in affordable, high quality, modern editions that are true to the original work."
"Twenty Thousand Leagues Under the Sea (Extraordinary Voyages, #6)",9780760728505,https://www.goodreads.com/buy_buttons/12/follow?book_id=33507&ref=x_gr_w_bb&tag=x_gr_w_bb-20,,"Twenty Thousand Leagues Under the Sea: A Tour of the Underwater World (French: Vingt mille lieues sous les mers: Tour du monde sous-marin, ""Twenty Thousand Leagues Under the Seas: A Tour of the Underwater World"") is a classic science fiction adventure novel by French writer Jules Verne published in 1870.","The story begins when a mysterious sea monster, theorized by some to be a giant narwhal, is sighted by ships of several nations; an ocean liner is also damaged by the creature. The United States government assembles an expedition to track down and destroy the menace. Professor Pierre Aronnax is a noted French marine biologist and narrator of the story; as he happens to be in America at the time and is a recognized expert in his field, he is issued a last-minute invitation to join the expedition, and he accepts. Canadian master harpoonist Ned Land and Aronnax's faithful assistant Conseil are also brought along. The expedition sets sail and after much fruitless searching, the monster is found. The ship charges into battle. During the fight, the ship's steering is damaged, and the three protagonists are thrown overboard. They find themselves stranded on the hide of the creature, only to discover to their surprise that it is a large metal construct. They are quickly captured and brought inside the vessel, where they meet its enigmatic creator and commander, Captain Nemo. It is here the adventure truly begins!","One of the great masters of science fiction, Jules Verne's boundless imagination took his readers into the center of the Earth and to the far reaches of the galaxy years before such travels could actually be attempted.","One of the great masters of science fiction, Jules Verne's boundless imagination took his readers into the center of the Earth and to the far reaches of the galaxy years before such travels could actually be attempted."
The Man Who Laughs,9781934169001,https://www.goodreads.com/buy_buttons/12/follow?book_id=63038&ref=x_gr_w_bb&tag=x_gr_w_bb-20,"Victor Hugo's The Man Who Laughs (first published under the French title L'Homme qui Rit in April 1869) is a sad and sordid tale -- not the sort of tale of the moment Hugo was known for. It starts on the night of January 29, 1690, a ten-year-old boy abandoned -- the stern men who've kept him since infancy have wearied of him. The boy wanders, barefoot and starving, through a snowstorm to reach a gibbet bearing the corpse of a hanged criminal. Beneath the gibbet is a ragged woman, frozen to death. The boy is about to move onward when he hears a sound within the woman's garments: He discovers an infant girl, barely alive, clutching the woman's breast. A single drop of frozen milk, resembling a pearl, is on the woman's lifeless breast...","The Man Who Laughs (also published under the title By Order of the King) is a novel by Victor Hugo, originally published in April 1869 under the French title L'Homme qui rit. It was adapted into a popular 1928 film, directed by Paul Leni and starring Conrad Veidt, Mary Philbin and Olga Baclanova. It was recently adapted for the 2012 French film L'Homme Qui Rit, directed by Jean-Pierre Améris and starring Gérard Depardieu, Marc-André Grondin and Christa Theret. In 2018, The Man Who Laughs is set to be adapted into a South Korean musical of the same name starring EXO's Suho and Park Hyo-shin singer,musical actor.","Victor-Marie Hugo (1802-1885) wrote L'Homme Qui Rit (The Man Who Laughs) in 1869. One of the greatest French novelists, poets, playwrights and socio-political figures of his time, he is probably best known for having written Notre-Dame de Paris (The Hunchback of Notre Dame) (1831) and Les Misérables (1862), but The Man Who Laughs is a romantic masterpiece that deserves an equal measure of acclaim. The incredible love story of the man whose face has been disfigured into a laughing mask in childhood, the loyal blind girl who gives him her heart, and the cruelty of the privileged aristocracy whose laughingstock and savior he becomes, is remarkable in its emotional impact. But do not be deceived. The timeless trope of Beauty and the Beast is redefined here, for surfaces are misleading, and not everything is as it seems. The slow-paced, stately richness of descriptive detail is reward in itself for the reader looking for delicious immersion in the drama of history, but coupled with the depth of human insight, and the glimpse into a historical era and mindset, this is a timeless classic.","Victor-Marie Hugo (1802-1885) wrote L'Homme Qui Rit (The Man Who Laughs) in 1869. One of the greatest French novelists, poets, playwrights and socio-political figures of his time, he is probably best known for having written Notre-Dame de Paris (The Hunchback of Notre Dame) (1831) and Les Misérables (1862), but The Man Who Laughs is a romantic masterpiece that deserves an equal measure of acclaim. The incredible love story of the man whose face has been disfigured into a laughing mask in childhood, the loyal blind girl who gives him her heart, and the cruelty of the privileged aristocracy whose laughingstock and savior he becomes, is remarkable in its emotional impact. But do not be deceived. The timeless trope of Beauty and the Beast is redefined here, for surfaces are misleading, and not everything is as it seems. The slow-paced, stately richness of descriptive detail is reward in itself for the reader looking for delicious immersion in the drama of history, but coupled with the depth of human insight, and the glimpse into a historical era and mindset, this is a timeless classic.","Victor-Marie Hugo (1802-1885) wrote L'Homme Qui Rit (The Man Who Laughs) in 1869. One of the greatest French novelists, poets, playwrights and socio-political figures of his time, he is probably best known for having written Notre-Dame de Paris (The Hunchback of Notre Dame) (1831) and Les Misérables (1862), but The Man Who Laughs is a romantic masterpiece that deserves an equal measure of acclaim. The incredible love story of the man whose face has been disfigured into a laughing mask in childhood, the loyal blind girl who gives him her heart, and the cruelty of the privileged aristocracy whose laughingstock and savior he becomes, is remarkable in its emotional impact. But do not be deceived. The timeless trope of Beauty and the Beast is redefined here, for surfaces are misleading, and not everything is as it seems. The slow-paced, stately richness of descriptive detail is reward in itself for the reader looking for delicious immersion in the drama of history, but coupled with the depth of human insight, and the glimpse into a historical era and mindset, this is a timeless classic."
A Long Fatal Love Chase,9780440223016,https://www.goodreads.com/buy_buttons/12/follow?book_id=620790&ref=x_gr_w_bb&tag=x_gr_w_bb-20,"""I'd gladly sell my soul to Satan for a year of freedom,"" cries Rosamond Vivian to her callous grandfather. A brooding stranger seduces her from the remote island onto his yacht. Trapped in a web of intrigue, cruelty, and deceit, she flees to Italy, France, Germany, from Paris garret to mental asylum, from convent to chateau - stalked by obsessed Phillip Tempest.Two years before Little Women, serialized in a magazine under the alias A.M. Barnard in 1866, this was buried among the author's papers over a century.","A Long Fatal Love Chase is a suspense novel by Louisa May Alcott. She wrote it in 1866, two years before the publication of Little Women (1868) finally established her literary reputation and began to resolve her financial problems. The manuscript remained unpublished until 1995.","A Long Fatal Love Chase is a suspense novel by Louisa May Alcott. She wrote it in 1866, two years before the publication of Little Women finally established her literary reputation and began to resolve her financial problems. The manuscript remained unpublished until 1995.","""I'd gladly sell my soul to Satan for a year of freedom,"" cries impetuous Rosamond Vivian to her callous grandfather. Then, one stormy night, a brooding stranger appears in her remote island home, ready to take Rosamond to her word. Spellbound by the mysterious Philip Tempest, Rosamond is seduced with promises of love and freedom, then spirited away on Tempest's sumptuous yacht. But she soon finds herself trapped in a web of intrigue, cruelty, and deceit. Desperate to escape, she flees to Italy, France, and Germany, from Parisian garret to mental asylum, from convent to chateau, as Tempest stalks every step of the fiery beauty who has become his obsession.  A story of dark love and passionate obsession that was considered ""too sensational"" to be published in the authors lifetime, A Long Fatal Love Chase was written for magazine serialization in 1866, two years before the publication of Little Women. Buried among Louisa May Alcott's papers for more than a century, its publication is a literary landmark—a novel that is bold, timeless, and mesmerizing.""","""I'd gladly sell my soul to Satan for a year of freedom,"" cries impetuous Rosamond Vivian to her callous grandfather. Then, one stormy night, a brooding stranger appears in her remote island home, ready to take Rosamond to her word. Spellbound by the mysterious Philip Tempest, Rosamond is seduced with promises of love and freedom, then spirited away on Tempest's sumptuous yacht. But she soon finds herself trapped in a web of intrigue, cruelty, and deceit. Desperate to escape, she flees to Italy, France, and Germany, from Parisian garret to mental asylum, from convent to chateau, as Tempest stalks every step of the fiery beauty who has become his obsession.

A story of dark love and passionate obsession that was considered ""too sensational"" to be published in the authors lifetime, A Long Fatal Love Chase was written for magazine serialization in 1866, two years before the publication of Little Women. Buried among Louisa May Alcott's papers for more than a century, its publication is a literary landmarkâa novel that is bold, timeless, and mesmerizing."""
"The Celebrated Jumping Frog of Calaveras County, and Other Sketches",9781103337637,https://www.goodreads.com/buy_buttons/12/follow?book_id=6448672&ref=x_gr_w_bb&tag=x_gr_w_bb-20,This is a pre-1923 historical reproduction that was curated for quality. Quality assurance was conducted on each of these books in an attempt to remove books with imperfections introduced by the digitization process. Though we have made best efforts - the books may have occasional errors that do not impede the reading experience. We believe this work is culturally important and have elected to bring the book back into print as part of our continuing commitment to the preservation of printed works worldwide.,"""The Celebrated Jumping Frog of Calaveras County"" is an 1865 short story by Mark Twain. It was his first great success as a writer and brought him national attention. The story has also been published as ""Jim Smiley and His Jumping Frog"" (its original title) and ""The Notorious Jumping Frog of Calaveras County"". In it, the narrator retells a story he heard from a bartender, Simon Wheeler, at the Angels Hotel in Angels Camp, California, about the gambler Jim Smiley. The narrator describes him: ""If he even seen a straddle bug start to go anywheres, he would bet you how long it would take him to get to wherever he going to, and if you took him up, he would foller that straddle bug to Mexico but what he would find out where he was bound for and how long he was on the road.""",,This is a pre-1923 historical reproduction that was curated for quality. Quality assurance was conducted on each of these books in an attempt to remove books with imperfections introduced by the digitization process. Though we have made best efforts - the books may have occasional errors that do not impede the reading experience. We believe this work is culturally important and have elected to bring the book back into print as part of our continuing commitment to the preservation of printed works worldwide.,This is a pre-1923 historical reproduction that was curated for quality. Quality assurance was conducted on each of these books in an attempt to remove books with imperfections introduced by the digitization process. Though we have made best efforts - the books may have occasional errors that do not impede the reading experience. We believe this work is culturally important and have elected to bring the book back into print as part of our continuing commitment to the preservation of printed works worldwide.
"Five Weeks in a Balloon (Extraordinary Voyages, #1)",9781421820606,https://www.goodreads.com/buy_buttons/15/follow?book_id=1219103&ref=x_gr_w_bb&tag=x_gr_w_bb_ca-20,"There was a large audience assembled on the 14th of January, 1862, at the session of the Royal Geographical Society, No. 3 Waterloo Place, London. The president, Sir Francis M -, made an important communication to his colleagues, in an address that was frequently interrupted by applause. This rare specimen of eloquence terminated with the following sonorous phrases bubbling over with patriotism: ""England has always marched at the head of nations"" (for, the reader will observe, the nations always march at the head of each other), ""by the intrepidity of her explorers in the line of geographical discovery."" (General assent). ""Dr. Samuel Ferguson, one of her most glorious sons, will not reflect discredit on his origin."" (""No, indeed!"" from all parts of the hall.)","Five Weeks in a Balloon, or, Journeys and Discoveries in Africa by Three Englishmen (French: Cinq semaines en ballon) is an adventure novel by Jules Verne, published in 1863. It is the first novel in which he perfected the ""ingredients"" of his later work, skillfully mixing a plot full of adventure and twists that hold the reader's interest with passages of technical, geographic, and historic description. The book gives readers a glimpse of the exploration of Africa, which was still not completely known to Europeans of the time, with explorers traveling all over the continent in search of its secrets.","Jules Gabriel Verne (1828-1905) was a French author who pioneered the science-fiction genre. He is best known for novels such as Journey to the Centre of the Earth (1864), Twenty Thousand Leagues Under the Sea (1870), and Around the World in Eighty Days (1873). Verne wrote about space, air and underwater travel before air travel and practical submarines were invented, and before practical means of space travel had been devised. He is the third most translated author in the world, according to Index Translationum. Some of his books have been made into films. Verne, along with Hugo Gernsback and H. G. Wells, is often popularly referred to as the ""Father of Science Fiction"". Amongst his other works are From the Earth to the Moon (1867), Five Weeks in a Balloon (1869), The Fur Country; or, Seventy Degrees North Latitude (1873), The Blockade Runners (1874), The Field of Ice (1875), The Mysterious Island (1875), Facing the Flag (1879), and An Antarctic Mystery (1899).","There was a large audience assembled on the 14th of January, 1862, at the session of the Royal Geographical Society, No. 3 Waterloo Place, London. The president, Sir Francis M -, made an important communication to his colleagues, in an address that was frequently interrupted by applause. This rare specimen of eloquence terminated with the following sonorous phrases bubbling over with patriotism: ""England has always marched at the head of nations"" (for, the reader will observe, the nations always march at the head of each other), ""by the intrepidity of her explorers in the line of geographical discovery."" (General assent). ""Dr. Samuel Ferguson, one of her most glorious sons, will not reflect discredit on his origin."" (""No, indeed!"" from all parts of the hall.)","There was a large audience assembled on the 14th of January, 1862, at the session of the Royal Geographical Society, No. 3 Waterloo Place, London. The president, Sir Francis M -, made an important communication to his colleagues, in an address that was frequently interrupted by applause. This rare specimen of eloquence terminated with the following sonorous phrases bubbling over with patriotism: ""England has always marched at the head of nations"" (for, the reader will observe, the nations always march at the head of each other), ""by the intrepidity of her explorers in the line of geographical discovery."" (General assent). ""Dr. Samuel Ferguson, one of her most glorious sons, will not reflect discredit on his origin."" (""No, indeed!"" from all parts of the hall.)"
Uncle Silas,9780140437461,https://www.goodreads.com/buy_buttons/12/follow?book_id=49190&ref=x_gr_w_bb&tag=x_gr_w_bb-20,"One of the most significant and intriguing Gothic novels of the Victorian period and is enjoyed today as a modern psychological thriller. In UNCLE SILAS (1864) Le Fanu brought up to date Mrs Radcliffe's earlier tales of virtue imprisoned and menacedby unscrupulous schemers. The narrator, Maud Ruthyn, is a 17 year old orphan left in the care of her fearful uncle, Silas. Together with his boorish son and a sinister French governess, Silas plots to kill Maud and claim her fortune. The novel established Le Fanu as a master of horror fiction.","Uncle Silas, subtitled ""A Tale of Bartram-Haugh"", is a Victorian Gothic mystery-thriller novel by the Irish writer J. Sheridan Le Fanu. Despite Le Fanu resisting its classification as such, the novel has also been hailed as a work of sensation fiction by contemporary reviewers and modern critics alike. It is an early example of the locked room mystery subgenre, rather than a novel of the supernatural (despite a few creepily ambiguous touches), but does show a strong interest in the occult and in the ideas of Emanuel Swedenborg, a Swedish scientist, philosopher and Christian mystic.","Uncle Silas is a Victorian Gothic mystery-thriller novel by the Irish writer J. Sheridan Le Fanu. It is notable as an early example of the locked room mystery subgenre. It is not a novel of the supernatural, but does show a strong interest in the occult and in the ideas of Emanuel Swedenborg, a Swedish scientist, philosopher and Christian mystic.
Like many of Le Fanu's novels, it grew out of an earlier short story, ""A Passage in the Secret History of an Irish Countess"", which he also published as ""The Murdered Cousin"" in the 1851 collection Ghost Stories and Tales of Mystery. The setting of the original story was Irish; presumably it was changed to Derbyshire for the novel because this would appeal more to a British audience. It was first serialized in the Dublin University Magazine in 1864, under the title Maud Ruthyn and Uncle Silas, and appeared in December of the same year as a triple-decker novel from the London publisher Richard Bentley.","Sheridan Le Fanu's most celebrated novel  In Uncle Silas, Maud Ruthyn, the young, naïve heroine, is plagued by Madame de la Rougierre from the moment the enigmatic older woman is hired as her governess. A liar, bully, and spy, when Madame leaves the house, she takes her dark secret with her. But when Maud is orphaned, she is sent to live with her Uncle Silas, her father's mysterious brother and a man with a scandalous-even murderous-past. And, once again, she encounters Madame, whose sinister role in Maud's destiny becomes all too clear.  With its subversion of reality and illusion, and its exploration of fear through the use of mystery and the supernatural, Uncle Silas shuns the conventions of traditional horror and delivers a chilling psychological thriller.  For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.","Sheridan Le Fanu's most celebrated novel

In Uncle Silas, Maud Ruthyn, the young, naïve heroine, is plagued by Madame de la Rougierre from the moment the enigmatic older woman is hired as her governess. A liar, bully, and spy, when Madame leaves the house, she takes her dark secret with her. But when Maud is orphaned, she is sent to live with her Uncle Silas, her father's mysterious brother and a man with a scandalous-even murderous-past. And, once again, she encounters Madame, whose sinister role in Maud's destiny becomes all too clear.

With its subversion of reality and illusion, and its exploration of fear through the use of mystery and the supernatural, Uncle Silas shuns the conventions of traditional horror and delivers a chilling psychological thriller.

For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators."
Lady Audley's Secret,9780192835208,https://www.goodreads.com/buy_buttons/12/follow?book_id=588747&ref=x_gr_e_nl_general_sout_bb&tag=x_gr_e_nl_general_sout_bb-20,"This Victorian bestseller, along with Braddon's other famous novel, Aurora Floyd, established her as the main rival of the master of the sensational novel, Wilkie Collins. A protest against the passive, insipid 19th-century heroine, Lady Audley was described by one critic of the time as ""high-strung, full of passion, purpose, and movement."" Her crime (the secret of the title) is shown to threaten the apparently respectable middle-class world of Victorian England.","Lady Audley's Secret is a sensation novel by Mary Elizabeth Braddon published in 1862.[1] It was Braddon's most successful and well-known novel. Critic John Sutherland (1989) described the work as ""the most sensationally successful of all the sensation novels"".[1] The plot centres on ""accidental bigamy"" which was in literary fashion in the early 1860s.[1] The plot was summarised by literary critic Elaine Showalter (1982): ""Braddon's bigamous heroine deserts her child, pushes husband number one down a well, thinks about poisoning husband number two and sets fire to a hotel in which her other male acquaintances are residing"".[2][3] Elements of the novel mirror themes of the real-life Constance Kent case of June 1860 which gripped the nation for years.[4] A follow-up novel, Aurora Floyd, appeared in 1863. Braddon set the story in Ingatestone Hall, Essex, inspired by a visit there.[5] There have been three silent film adaptations, one UK television version in 2000, and three minor stage adaptations.","Murder, mystery, mistaken identity, madness, bigamy, adultery: These were the special ingredients that made the sensation novel so delectable to the Victorian palate. Readers who devoured Lady Audley's Secret were thrilled and frightened by its inversion of the ideal Victorian heroine. Lady Audley looks like the angel-in-the-house ideal of Victorian womanhood-she is blonde, fragile, and childlike-but her behavior is distinctly villainous. At a time when Victorian women were beginning to rebel against their limited roles as wives and mothers, novels such as Lady Audley's Secret spoke to their secret longings and fantasies.
Genteel women readers, slaving away as governesses in other people's families, could share the fantasy of poor Lucy, suddenly made a lady by her marriage to Sir Michael. Part detective story, part domestic drama, Lady Audley's Secret became a runaway bestseller of its era. Nearly a century and a half since it was first published, Lady Audley's Secret has lost none of its ability to disturb and captivate readers.","This Victorian bestseller, along with Braddon's other famous novel, Aurora Floyd, established her as the main rival of the master of the sensational novel, Wilkie Collins. A protest against the passive, insipid 19th-century heroine, Lady Audley was described by one critic of the time as ""high-strung, full of passion, purpose, and movement."" Her crime (the secret of the title) is shown to threaten the apparently respectable middle-class world of Victorian England.","This Victorian bestseller, along with Braddon's other famous novel, Aurora Floyd, established her as the main rival of the master of the sensational novel, Wilkie Collins. A protest against the passive, insipid 19th-century heroine, Lady Audley was described by one critic of the time as ""high-strung, full of passion, purpose, and movement."" Her crime (the secret of the title) is shown to threaten the apparently respectable middle-class world of Victorian England."
The Marble Faun,9780192839763,https://www.goodreads.com/buy_buttons/12/follow?book_id=47059&ref=x_gr_w_bb&tag=x_gr_w_bb-20,"The fragility-and the durability-of human life and art dominate this story of American expatriates in Italy in the mid-nineteenth century. Befriended by Donatello, a young Italian with the classical grace of the ""Marble Faun,"" Miriam, Hilda, and Kenyon find their pursuit of art taking a sinister turn as Miriam's unhappy past precipitates the present into tragedy.  Hawthorne's 'International Novel' dramatizes the confrontation of the Old World and the New and the uncertain relationship between the 'authentic' and the 'fake' in life as in art. The author's evocative descriptions of classic sites made The Marble Faun a favorite guidebook to Rome for Victorian tourists, but this richly ambiguous symbolic romance is also the story of a murder, and a parable of the Fall of Man. As the characters find their civilized existence disrupted by the awful consequences of impulse, Hawthorne leads his readers to question the value of Art and Culture and addresses the great evolutionary debate which was beginning to shake Victorian society.","The Marble Faun: Or, The Romance of Monte Beni, also known by the British title Transformation, was the last of the four major romances by Nathaniel Hawthorne, and was published in 1860. The Marble Faun, written on the eve of the American Civil War, is set in a fantastical Italy. The romance mixes elements of a fable, pastoral, gothic novel, and travel guide.","The fragility-and the durability-of human life and art dominate this story of American expatriates in Italy in the mid-nineteenth century. Befriended by Donatello, a young Italian with the classical grace of the ""Marble Faun,"" Miriam, Hilda, and Kenyon find their pursuit of art taking a sinister turn as Miriam's unhappy past precipitates the present into tragedy. Hawthorne's 'International Novel' dramatizes the confrontation of the Old World and the New and the uncertain relationship between the 'authentic' and the 'fake' in life as in art. The author's evocative descriptions of classic sites made The Marble Faun a favorite guidebook to Rome for Victorian tourists, but this richly ambiguous symbolic romance is also the story of a murder, and a parable of the Fall of Man. As the characters find their civilized existence disrupted by the awful consequences of impulse, Hawthorne leads his readers to question the value of Art and Culture and addresses the great evolutionary debate which was beginning to shake Victorian society.","The fragility-and the durability-of human life and art dominate this story of American expatriates in Italy in the mid-nineteenth century. Befriended by Donatello, a young Italian with the classical grace of the ""Marble Faun,"" Miriam, Hilda, and Kenyon find their pursuit of art taking a sinister turn as Miriam's unhappy past precipitates the present into tragedy.    Hawthorne's 'International Novel' dramatizes the confrontation of the Old World and the New and the uncertain relationship between the 'authentic' and the 'fake' in life as in art. The author's evocative descriptions of classic sites made The Marble Faun a favorite guidebook to Rome for Victorian tourists, but this richly ambiguous symbolic romance is also the story of a murder, and a parable of the Fall of Man. As the characters find their civilized existence disrupted by the awful consequences of impulse, Hawthorne leads his readers to question the value of Art and Culture and addresses the great evolutionary debate which was beginning to shake Victorian society.","The fragility-and the durability-of human life and art dominate this story of American expatriates in Italy in the mid-nineteenth century. Befriended by Donatello, a young Italian with the classical grace of the ""Marble Faun,"" Miriam, Hilda, and Kenyon find their pursuit of art taking a sinister turn as Miriam's unhappy past precipitates the present into tragedy.

Hawthorne's 'International Novel' dramatizes the confrontation of the Old World and the New and the uncertain relationship between the 'authentic' and the 'fake' in life as in art. The author's evocative descriptions of classic sites made The Marble Faun a favorite guidebook to Rome for Victorian tourists, but this richly ambiguous symbolic romance is also the story of a murder, and a parable of the Fall of Man. As the characters find their civilized existence disrupted by the awful consequences of impulse, Hawthorne leads his readers to question the value of Art and Culture and addresses the great evolutionary debate which was beginning to shake Victorian society."
Alice's Adventures Under Ground,9780486214825,https://www.goodreads.com/buy_buttons/12/follow?book_id=1292105&ref=x_gr_w_bb&tag=x_gr_w_bb-20,"Source of legend and lyric, reference and conjecture, Alice's Adventures in Wonderland is for most children pure pleasure in prose. While adults try to decipher Lewis Carroll's putative use of complex mathematical codes in the text, or debate his alleged use of opium, young readers simply dive with Alice through the rabbit hole, pursuing ""The dream-child moving through a land / Of wonders wild and new."" There they encounter the White Rabbit, the Queen of Hearts, the Mock Turtle, and the Mad Hatter, among a multitude of other characters--extinct, fantastical, and commonplace creatures. Alice journeys through this Wonderland, trying to fathom the meaning of her strange experiences. But they turn out to be ""curiouser and curiouser,"" seemingly without moral or sense. For more than 130 years, children have reveled in the delightfully non-moralistic, non-educational virtues of this classic. In fact, at every turn, Alice's new companions scoff at her traditional education. The Mock Turtle, for example, remarks that he took the ""regular course"" in school: Reeling, Writhing, and branches of Arithmetic-Ambition, Distraction, Uglification, and Derision. Carroll believed John Tenniel's illustrations were as important as his text. Naturally, Carroll's instincts were good; the masterful drawings are inextricably tied to the well-loved story. (All ages)","Alice's Adventures in Wonderland (commonly shortened to Alice in Wonderland) is an 1865 novel written by English author Charles Lutwidge Dodgson under the pseudonym Lewis Carroll.[1] It tells of a girl named Alice falling through a rabbit hole into a fantasy world populated by peculiar, anthropomorphic creatures. The tale plays with logic, giving the story lasting popularity with adults as well as with children.[2] It is considered to be one of the best examples of the literary nonsense genre.[2][3] Its narrative course and structure, characters and imagery have been enormously influential[3] in both popular culture and literature, especially in the fantasy genre.","This work is sometimes called the ""Fascimile Edition"" of Alice's Adventures in Wonderland. Lewis Carroll wrote, in his own hand, the story whose core elements had been told to the the three Liddell sisters, Lorina, Alice and Edith, and a friend, the Reverend Duckworth, on their boat ride on the Thames in July of 1862. Carroll gave this hand-written copy to Alice Liddell a few years later. More than twenty years after he wrote this single copy, the facsimile edition was published, reproducing his own handwriting and illustrations. It has fewer illustrations than AAIW, having 37 instead of 42, and Carroll is not as good an artist as John Tenniel, but Carroll has an interesting visual sense nonetheless. There are textual differences as well, such as in the mouse's tale (or tail) and significant amounts of text were added to what became Alice's Adventures in Wonderland, as it was published in 1865.","Facsimile of ms.Carroll gave Alice Liddell in 1864. Different in many ways from final Alice. Hand lettering, illustrated by Carroll.","Facsimile of ms.Carroll gave Alice Liddell in 1864. Different in many ways from final Alice. Hand lettering, illustrated by Carroll."
The Cossacks,9780812975048,https://www.goodreads.com/buy_buttons/12/follow?book_id=17698&ref=x_gr_w_bb&tag=x_gr_w_bb-20,"This 1862 novel, in a vibrant new translation by Peter Constantine, is Tolstoyâs semiautobiographical story of young Olenin, a wealthy, disaffected Muscovite who joins the Russian army and travels to the untamed frontier of the Caucasus in search of a more authentic life. While striving to adopt the rough and ready lifestyle of the local Cossacks, Olenin falls in love with a free-spirited girl whose fiancÃ© turns out to be a formidable opponent. Showcasing the philosophical insight that would characterize Tolstoyâs later masterpieces, this long overdue translation is a revelation.","The Cossacks (Russian: Казаки [Kazaki]) is a short novel by Leo Tolstoy, published in 1863 in the popular literary magazine The Russian Messenger. It was originally called Young Manhood.[1] Both Ivan Turgenev and the Nobel prize-winning Russian writer Ivan Bunin gave the work great praise, Turgenev calling it his favorite work by Tolstoy.[2] Tolstoy began work on the story in August 1853.[3] In August 1857, after having reread the Iliad, he vowed to completely rewrite The Cossacks.[4] In February 1862, after having lost badly at cards he finished the novel to help pay his debts.[5] The novel was published in 1863, the same year his first child was born.[2]","Dissatisfied with his life of frivolity among the aristocracy of Moscow, young Dmitri Andreyevitch Oleynin sets out for the Caucasus region. Here, among the natural beauty of his surroundings and the honest and industrious peasant people, Oleynin hopes to obtain a more meaningful existence. Yet Oleynin is marked out as an outsider from the very beginning, and his ill-fated passion for Maryanka, who is betrothed to a local hero, does little to ingratiate himself with this society. This beautifully articulated novel of self-discovery, youthful idealism and romance is read with great sympathy by Jonathan Oliver.","This 1862 novel, in a vibrant new translation by Peter Constantine, is Tolstoy’s semiautobiographical story of young Olenin, a wealthy, disaffected Muscovite who joins the Russian army and travels to the untamed frontier of the Caucasus in search of a more authentic life. While striving to adopt the rough and ready lifestyle of the local Cossacks, Olenin falls in love with a free-spirited girl whose fiancé turns out to be a formidable opponent. Showcasing the philosophical insight that would characterize Tolstoy’s later masterpieces, this long overdue translation is a revelation.","This 1862 novel, in a vibrant new translation by Peter Constantine, is Tolstoy’s semiautobiographical story of young Olenin, a wealthy, disaffected Muscovite who joins the Russian army and travels to the untamed frontier of the Caucasus in search of a more authentic life. While striving to adopt the rough and ready lifestyle of the local Cossacks, Olenin falls in love with a free-spirited girl whose fiancé turns out to be a formidable opponent. Showcasing the philosophical insight that would characterize Tolstoy’s later masterpieces, this long overdue translation is a revelation."
