"Book Title","ISBN","Amazon URL","GoodReads Description"
"The Return of the King (The Lord of the Rings, #3)","9780345339737","https://www.goodreads.com/buy_buttons/12/follow?book_id=18512&ref=x_gr_w_bb&tag=x_gr_w_bb-20","Alternate cover edition here.The Companions of the Ring have become involved in separate adventures as the quest continues. Aragorn, revealed as the hidden heir of the ancient Kings of the West, joined with the Riders of Rohan against the forces of Isengard, and took part in the desperate victory of the Hornburg. Merry and Pippin, captured by Orcs, escaped into Fangorn Forest and there encountered the Ents. Gandalf returned, miraculously, and defeated the evil wizard, Saruman. Meanwhile, Sam and Frodo progressed towards Mordor to destroy the Ring, accompanied by SmEagol--Gollum, still obsessed by his 'precious'. After a battle with the giant spider, Shelob, Sam left his master for dead; but Frodo is still alive--in the hands of the Orcs. And all the time the armies of the Dark Lord are massing. J.R.R. Tolkien's great work of imaginative fiction has been labeled both a heroic romance and a classic fantasy fiction. By turns comic and homely, epic and diabolic, the narrative moves through countless changes of scene and character in an imaginary world which is totally convincing in its detail."
"On the Road","9780140042597","https://www.goodreads.com/buy_buttons/12/follow?book_id=70401&ref=x_gr_w_bb&tag=x_gr_w_bb-20","When Jack Kerouacâs On the Road first appeared in 1957, readers instantly felt the beat of a new literary rhythm. A fictionalised account of his own journeys across America with his friend Neal Cassady, Kerouacâs beatnik odyssey captured the soul of a generation and changed the landscape of American fiction for ever.Influenced by Jack London and Thomas Wolfe, Kerouac always wanted to be a writer, but his true voice only emerged when he wrote about his own experiences in On the Road. Leaving a broken marriage behind him, Sal Paradise (Kerouac) joins Dean Moriarty (Cassady), a tearaway and former reform school boy, on a series of journeys that takes them from New York to San Francisco, then south to Mexico. Hitching rides and boarding buses, they enter a world of hobos and drifters, fruit-pickers and migrant families, small towns and wide horizons. Adrift from conventional society, they experience America in the raw: a place where living is hard, but âlife is holy and every moment is preciousâ.With its smoky, jazz-filled atmosphere and its restless, yearning spirit of adventure, On the Road left its mark on the culture of the late 20th century, influencing countless books, films and songs. Kerouacâs prose is remarkable both for its colloquial swing and for the pure lyricism inspired by the American landscape â âthe backroads, the black-tar roads that curve among the mournful rivers like Susquehanna, Monongahela, old Potomac and Monocacyâ. This Folio Society edition is illustrated with evocative photographs of Kerouac and the landscapes of 1950s America. Now acknowledged as a modern classic, On the Road remains a thrilling and poignant story of the road less travelled."
"The Chronicles of Narnia (Chronicles of Narnia, #1-7)","9780066238500","https://www.goodreads.com/buy_buttons/12/follow?book_id=11127&ref=x_gr_w_bb&tag=x_gr_w_bb-20","Journeys to the end of the world, fantastic creatures, and epic battles between good and evilâwhat more could any reader ask for in one book? The book that has it all is The Lion, the Witch and the Wardrobe, written in 1949 by Clive Staples Lewis. But Lewis did not stop there. Six more books followed, and together they became known as The Chronicles of Narnia.For the past fifty years, The Chronicles of Narnia have transcended the fantasy genre to become part of the canon of classic literature. Each of the seven books is a masterpiece, drawing the reader into a land where magic meets reality, and the result is a fictional world whose scope has fascinated generations.This edition presents all seven booksâunabridgedâin one impressive volume. The books are presented here in chronlogical order, each chapter graced with an illustration by the original artist, Pauline Baynes. Deceptively simple and direct, The Chronicles of Narnia continue to captivate fans with adventures, characters, and truths that speak to readers of all ages, even fifty years after they were first published."
"The Crucible","9780142437339","https://www.goodreads.com/buy_buttons/12/follow?book_id=17250&ref=x_gr_w_bb&tag=x_gr_w_bb-20","""I believe that the reader will discover here the essential nature of one of the strangest and most awful chapters in human history,"" Arthur Miller wrote of his classic play about the witch-hunts and trials in seventeenth-century Salem, Massachusetts. Based on historical people and real events, Miller's drama is a searing portrait of a community engulfed by hysteria. In the rigid theocracy of Salem, rumors that women are practicing witchcraft galvanize the town's most basic fears and suspicions; and when a young girl accuses Elizabeth Proctor of being a witch, self-righteous church leaders and townspeople insist that Elizabeth be brought to trial. The ruthlessness of the prosecutors and the eagerness of neighbor to testify against neighbor brilliantly illuminate the destructive power of socially sanctioned violence.Written in 1953, The Crucible is a mirror Miller uses to reflect the anti-communist hysteria inspired by Senator Joseph McCarthy's ""witch-hunts"" in the United States. Within the text itself, Miller contemplates the parallels, writing, ""Political opposition... is given an inhumane overlay, which then justifies the abrogation of all normally applied customs of civilized behavior. A political policy is equated with moral right, and opposition to it with diabolical malevolence.""WIth an introduction by Christopher Bigsby."
"The Two Towers (The Lord of the Rings, #2)","9780618346264","https://www.goodreads.com/buy_buttons/13/follow?book_id=15241&ref=x_gr_w_bb&tag=x_gr_w_bb_uk-21","The Fellowship was scattered. Some were bracing hopelessly for war against the ancient evil of Sauron. Some were contending with the treachery of the wizard Saruman. Only Frodo and Sam were left to take the accursed Ring of Power to be destroyed in Mordorâthe dark Kingdom where Sauron was supreme. Their guide was Gollum, deceitful and lust-filled, slave to the corruption of the Ring. Thus continues the magnificent, bestselling tale of adventure begun in The Fellowship of the Ring, which reaches its soul-stirring climax in The Return of the King."
"How the Grinch Stole Christmas!","9780007173044","https://www.goodreads.com/buy_buttons/16/follow?book_id=113946&ref=x_gr_w_bb&tag=x_gr_w_bb-20","""The Grinch hated Christmas! The whole Christmas season!Now, please don't ask why. No one quite knows the reason.""Dr. Seuss's small-hearted Grinch ranks right up there with Scrooge when it comes to the crankiest, scowling holiday grumps of all time. For 53 years, the Grinch has lived in a cave on the side of a mountain, looming above the Whos in Whoville. The noisy holiday preparations and infernal singing of the happy little citizens below annoy him to no end. The Grinch decides this frivolous merriment must stop. His ""wonderful, awful"" idea is to don a Santa outfit, strap heavy antlers on his poor, quivering dog Max, construct a makeshift sleigh, head down to Whoville, and strip the chafingly cheerful Whos of their Yuletide glee once and for all.Looking quite out of place and very disturbing in his makeshift Santa get-up, the Grinch slithers down chimneys with empty bags and stealing the Whos' presents, their food, even the logs from their humble Who-fires. He takes the ramshackle sleigh to Mt. Crumpit to dump it and waits to hear the sobs of the Whos when they wake up and discover the trappings of Christmas have disappeared. Imagine the Whos' dismay when they discover the evil-doings of Grinch in his anti-Santa guise. But what is that sound? It's not sobbing, but singing! Children simultaneously adore and fear this triumphant, twisted Seussian testimonial to the undaunted cheerfulness of the Whos, the transcendent nature of joy, and of course, the growth potential of a heart that's two sizes too small. This holiday classic is perfect for reading aloud to your favorite little Whos."
"Invisible Man","9780679732761","https://www.goodreads.com/buy_buttons/12/follow?book_id=16981&ref=x_gr_w_bb&tag=x_gr_w_bb-20","First published in 1952 and immediately hailed as a masterpiece, Invisible Man is one of those rare novels that have changed the shape of American literature. For not only does Ralph Ellison's nightmare journey across the racial divide tell unparalleled truths about the nature of bigotry and its effects on the minds of both victims and perpetrators, it gives us an entirely new model of what a novel can be.As he journeys from the Deep South to the streets and basements of Harlem, from a horrifying ""battle royal"" where black men are reduced to fighting animals, to a Communist rally where they are elevated to the status of trophies, Ralph Ellison's nameless protagonist ushers readers into a parallel universe that throws our own into harsh and even hilarious relief. Suspenseful and sardonic, narrated in a voice that takes in the symphonic range of the American language, black and white, Invisible Man is one of the most audacious and dazzling novels of our century."
"The Martian Chronicles","9780553278224","https://www.goodreads.com/buy_buttons/12/follow?book_id=76778&ref=x_gr_w_bb&tag=x_gr_w_bb-20","The strange and wonderful tale of manâs experiences on Mars, filled with intense images and astonishing visions. Now part of the Voyager Classics collection.The Martian Chronicles tells the story of humanityâs repeated attempts to colonize the red planet. The first men were few. Most succumbed to a disease they called the Great Loneliness when they saw their home planet dwindle to the size of a fist. They felt they had never been born. Those few that survived found no welcome on Mars. The shape-changing Martians thought they were native lunatics and duly locked them up.But more rockets arrived from Earth, and more, piercing the hallucinations projected by the Martians. People brought their old prejudices with them â and their desires and fantasies, tainted dreams. These were soon inhabited by the strange native beings, with their caged flowers and birds of flame.Contents:Rocket SummerYllaThe Summer NightThe Earth MenThe TaxpayerThe Third Expedition-And the Moon Be Still As BrightThe SettlersThe Green MorningThe LocustsNight MeetingThe ShoreInterimThe MusiciansWay in the Middle of the AirThe Naming of NamesUsher IIThe Old OnesThe MartianThe Luggage StoreThe Off SeasonThe WatchersThe Silent TownsThe Long YearsThere Will Come Soft RainsThe Million Year Picnic"
"Flowers for Algernon","-1","https://www.goodreads.com/buy_buttons/12/follow?book_id=36576608&ref=x_gr_w_bb&tag=x_gr_w_bb-20","The story of a mentally disabled man whose experimental quest for intelligence mirrors that of Algernon, an extraordinary lab mouse. In diary entries, Charlie tells how a brain operation increases his IQ and changes his life. As the experimental procedure takes effect, Charlie's intelligence expands until it surpasses that of the doctors who engineered his metamorphosis. The experiment seems to be a scientific breakthrough of paramount importance--until Algernon begins his sudden, unexpected deterioration. Will the same happen to Charlie?"
"Breakfast at Tiffany's","9780679745655","https://www.goodreads.com/buy_buttons/12/follow?book_id=251688&ref=x_gr_w_bb&tag=x_gr_w_bb-20","It's New York in the 1940s, where the martinis flow from cocktail hour till breakfast at Tiffany's. And nice girls don't, except, of course, Holly Golightly. Pursued by Mafia gangsters and playboy millionaires, Holly is a fragile eyeful of tawny hair and turned-up nose, a heart-breaker, a perplexer, a traveller, a tease. She is irrepressibly 'top banana in the shock department', and one of the shining flowers of American fiction.This edition also contains three stories: 'House of Flowers', 'A Diamond Guitar' and 'A Christmas Memory'."
"The Cat in the Hat","9780394800011","https://www.goodreads.com/buy_buttons/12/follow?book_id=233093&ref=x_gr_w_bb&tag=x_gr_w_bb-20","Poor Sally and her brother. It's cold and wet and they're stuck in the house with nothing to do . . . until a giant cat in a hat shows up, transforming the dull day into a madcap adventure and almost wrecking the place in the process! Written by Dr. Seuss in 1957 in response to the concern that ""pallid primers [with] abnormally courteous, unnaturally clean boys and girls' were leading to growing illiteracy among children, The Cat in the Hat (the first Random House Beginner Book) changed the way our children learn how to read.Book Details:  Format: Hardcover 
   Publication Date: 3/12/1957 
   Pages: 72 
   Reading Level: Age 3 and Up"
"The Once and Future King (The Once and Future King #1-4)","9780441627400","https://www.goodreads.com/buy_buttons/12/follow?book_id=43545&ref=x_gr_w_bb&tag=x_gr_w_bb-20","Once upon a time, a young boy called âWartâ was tutored by a magician named Merlyn in preparation for a future he couldnât possibly imagine. A future in which he would ally himself with the greatest knights, love a legendary queen and unite a country dedicated to chivalrous values. A future that would see him crowned and known for all time as Arthur, King of the Britons.During Arthurâs reign, the kingdom of Camelot was founded to cast enlightenment on the Dark Ages, while the knights of the Round Table embarked on many a noble quest. But Merlyn foresaw the treachery that awaited his liege: the forbidden love between Queen Guinevere and Lancelot, the wicked plots of Arthurâs half-sister Morgause, and the hatred she fostered in Mordred that would bring an end to the kingâs dreams for Britain--and to the king himself."
"Things Fall Apart (The African Trilogy, #1)","9780385474542","https://www.goodreads.com/buy_buttons/12/follow?book_id=37781&ref=x_gr_w_bb&tag=x_gr_w_bb-20","THINGS FALL APART tells two overlapping, intertwining stories, both of which center around Okonkwo, a âstrong manâ of an Ibo village in Nigeria. The first of these stories traces Okonkwo's fall from grace with the tribal world in which he lives, and in its classical purity of line and economical beauty it provides us with a powerful fable about the immemorial conflict between the individual and society. The second story, which is as modern as the first is ancient, and which elevates the book to a tragic plane, concerns the clash of cultures and the destruction of Okonkwo's world through the arrival of aggressive, proselytizing European missionaries. These twin dramas are perfectly harmonized, and they are modulated by an awareness capable of encompassing at once the life of nature, human history, and the mysterious compulsions of the soul. THINGS FALL APART is the most illuminating and permanent monument we have to the modern African experience as seen from within."
"The End of the Affair","9780099478447","https://www.goodreads.com/buy_buttons/6/follow?book_id=29641","""A story has no beginning or end: arbitrarily one chooses a moment of experience from which to look ahead...""""This is a record of hate far more than of love,"" writes Maurice Bendrix in the opening passages of The End of the Affair, and it is a strange hate indeed that compels him to set down the retrospective account of his adulterous affair with Sarah Miles.Now, a year after Sarah's death, Bendrix seeks to exorcise the persistence of his passion by retracing its course from obsessive love to love-hate. At first, he believes he hates Sarah and her husband, Henry. Yet as he delves further into his emotional outlook, Bendrix's hatred shifts to the God he feels has broken his life, but whose existence at last comes to recognize."
"Doctor Zhivago","9780679774389","https://www.goodreads.com/buy_buttons/13/follow?book_id=130440&ref=x_gr_w_bb&tag=x_gr_w_bb_uk-21","This epic tale about the effects of the Russian Revolution and its aftermath on a bourgeois family was not published in the Soviet Union until 1987. One of the results of its publication in the West was Pasternak's complete rejection by Soviet authorities; when he was awarded the Nobel Prize for Literature in 1958 he was compelled to decline it. The book quickly became an international best-seller.Dr. Yury Zhivago, Pasternak's alter ego, is a poet, philosopher, and physician whose life is disrupted by the war and by his love for Lara, the wife of a revolutionary. His artistic nature makes him vulnerable to the brutality and harshness of the Bolsheviks. The poems he writes constitute some of the most beautiful writing in the novel."
"Waiting for Godot","-1","https://www.goodreads.com/buy_buttons/12/follow?book_id=17716&ref=x_gr_w_bb&tag=x_gr_w_bb-20","The story revolves around two seemingly homeless men waiting for someoneâor somethingânamed Godot. Vladimir and Estragon wait near a tree, inhabiting a drama spun of their own consciousness. The result is a comical wordplay of poetry, dreamscapes, and nonsense, which has been interpreted as mankindâs inexhaustible search for meaning. Beckettâs language pioneered an expressionistic minimalism that captured the existential post-World War II Europe. His play remains one of the most magical and beautiful allegories of our time."
"The Fall","9780679720225","https://www.goodreads.com/buy_buttons/12/follow?book_id=11991&ref=x_gr_w_bb&tag=x_gr_w_bb-20","Jean-Baptiste Clamence, a successful Parisian barrister, has come to recognize the deep-seated hypocrisy of his existence. His epigrammatic and, above all, discomforting monologue gradually saps, then undermines, the reader's own complacency."
"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)","9780061125270","https://www.goodreads.com/buy_buttons/12/follow?book_id=140225&ref=x_gr_w_bb&tag=x_gr_w_bb-20","Lucy and Edmund, with their dreadful cousin Eustace, get magically pulled into a painting of a ship at sea. That ship is the Dawn Treader, and on board is Caspian, King of Narnia. He and his companions, including Reepicheep, the valiant warrior mouse, are searching for seven lost lords of Narnia, and their voyage will take them to the edge of the world. Their adventures include being captured by slave traders, a much-too-close encounter with a dragon, and visits to many enchanted islands, including the place where dreams come true.This edition follows the original numbering scheme. More recent publishers have re-numbered the volumes so that the books are ordered chronologically. This was reportedly the author's preference. Other editions number this book as #5.Please respect the title as printed."
"The Magician's Nephew (Chronicles of Narnia, #6)","9780060764906","https://www.goodreads.com/buy_buttons/12/follow?book_id=65605&ref=x_gr_w_bb&tag=x_gr_w_bb-20","The secret passage to the house next door leads to a fascinating adventureNARNIA...where the woods are thick and cold, where Talking Beasts are called to life...a new world where the adventure begins.Digory and Polly meet and become friends one cold, wet summer in London. Their lives burst into adventure when Digory's Uncle Andrew, who thinks he is a magician, sends them hurtling to...somewhere else. They find their way to Narnia, newborn from the Lion's song, and encounter the evil sorceress Jadis before they finally return home."
"A Separate Peace","9780743253970","https://www.goodreads.com/buy_buttons/12/follow?book_id=5148&ref=x_gr_w_bb&tag=x_gr_w_bb-20","An American classic and great bestseller for over thirty years, A Separate Peace is timeless in its description of adolescence during a period when the entire country was losing its innocence to the second world war.Set at a boys boarding school in New England during the early years of World War II, A Separate Peace is a harrowing and luminous parable of the dark side of adolescence. Gene is a lonely, introverted intellectual. Phineas is a handsome, taunting, daredevil athlete. What happens between the two friends one summer, like the war itself, banishes the innocence of these boys and their world.A bestseller for more than thirty years, A Separate Peace is John Knowles crowning achievement and an undisputed American classic."
"Foundation (Foundation #1)","9780553803716","https://www.goodreads.com/buy_buttons/13/follow?book_id=29579&ref=x_gr_w_bb&tag=x_gr_w_bb_uk-21","For twelve thousand years the Galactic Empire has ruled supreme. Now it is dying. But only Hari Seldon, creator of the revolutionary science of psychohistory, can see into the future -- to a dark age of ignorance, barbarism, and warfare that will last thirty thousand years. To preserve knowledge and save mankind, Seldon gathers the best minds in the Empire -- both scientists and scholars -- and brings them to a bleak planet at the edge of the Galaxy to serve as a beacon of hope for a future generations. He calls his sanctuary the Foundation.But soon the fledgling Foundation finds itself at the mercy of corrupt warlords rising in the wake of the receding Empire. Mankind's last best hope is faced with an agonizing choice: submit to the barbarians and be overrun -- or fight them and be destroyed."
"The Horse and His Boy (Chronicles of Narnia, #5)","9780439861366","https://www.goodreads.com/buy_buttons/12/follow?book_id=84119&ref=x_gr_w_bb&tag=x_gr_w_bb-20","The Horse and his Boy is a stirring and dramatic fantasy story that finds a young boy named Shasta on the run from his homeland with the talking horse, Bree. When the pair discover a deadly plot by the Calormen people to conquer the land of Narnia, the race is on to warn the inhabitants of the impending danger and to rescue them all from certain death."
"I, Robot (Robot, #0.1)","9780553803709","https://www.goodreads.com/buy_buttons/12/follow?book_id=41804&ref=x_gr_w_bb&tag=x_gr_w_bb-20","The three laws of Robotics:1) A robot may not injure a human being or, through inaction, allow a human being to come to harm.2) A robot must obey orders given to it by human beings except where such orders would conflict with the First Law.3) A robot must protect its own existence as long as such protection does not conflict with the First or Second Law.With these three, simple directives, Isaac Asimov changed our perception of robots forever when he formulated the laws governing their behavior. In I, Robot, Asimov chronicles the development of the robot through a series of interlinked stories: from its primitive origins in the present to its ultimate perfection in the not-so-distant future--a future in which humanity itself may be rendered obsolete.Here are stories of robots gone mad, of mind-read robots, and robots with a sense of humor. Of robot politicians, and robots who secretly run the world--all told with the dramatic blend of science fact and science fiction that has become Asimov's trademark."
"The Witch of Blackbird Pond","9780440995777","https://www.goodreads.com/buy_buttons/12/follow?book_id=703292&ref=x_gr_w_bb&tag=x_gr_w_bb-20","Orphaned Kit Tyler knows, as she gazes for the first time at the cold, bleak shores of Connecticut Colony, that her new home will never be like the shimmering Caribbean island she left behind. In her relatives' stern Puritan community, she feels like a tropical bird that has flown to the wrong part of the world, a bird that is now caged and lonely. The only place where Kit feels completely free is in the meadows, where she enjoys the company of the old Quaker woman known as the Witch of Blackbird Pond, and on occasion, her young sailor friend Nat. But when Kit's friendship with the ""witch"" is discovered, Kit is faced with suspicion, fear, and anger. She herself is accused of witchcraft!"
"Horton Hears a Who!","9780679800033","https://www.goodreads.com/buy_buttons/12/follow?book_id=7779&ref=x_gr_w_bb&tag=x_gr_w_bb-20","Academy Award winner Dustin Hoffman's masterful narration brings to life the heartwarming tale of Horton the elephant. Original music and sound effects complement the retelling. An exclusive paperback edition of the book is packaged with the audio cassette. Cassette running time: approx. 20 min."
"The Haunting of Hill House","9780143039983","https://www.goodreads.com/buy_buttons/17/follow?book_id=89717&ref=x_gr_w_bb&tag=x_gr_w_bb-20","The classic supernatural thriller by an author who helped define the genreFirst published in 1959, Shirley Jackson's The Haunting of Hill House has been hailed as a perfect work of unnerving terror. It is the story of four seekers who arrive at a notoriously unfriendly pile called Hill House: Dr. Montague, an occult scholar looking for solid evidence of a ""haunting""; Theodora, his lighthearted assistant; Eleanor, a friendless, fragile young woman well acquainted with poltergeists; and Luke, the future heir of Hill House. At first, their stay seems destined to be merely a spooky encounter with inexplicable phenomena. But Hill House is gathering its powersâand soon it will choose one of them to make its own."
"Prince Caspian (Chronicles of Narnia, #2)","9780007202300","https://www.goodreads.com/buy_buttons/12/follow?book_id=121749&ref=x_gr_w_bb&tag=x_gr_w_bb-20","The Pevensie siblings are back to help a prince denied his rightful throne as he gathers an army in a desperate attempt to rid his land of a false king. But in the end, it is a battle of honor between two men alone that will decide the fate of an entire world."
"The Talented Mr. Ripley (Ripley, #1)","9780393332148","https://www.goodreads.com/buy_buttons/12/follow?book_id=2247142&ref=x_gr_w_bb&tag=x_gr_w_bb-20","Since his debut in 1955, Tom Ripley has evolved into the ultimate bad boy sociopath, influencing countless novelists and filmmakers. In this first novel, we are introduced to suave, handsome Tom Ripley: a young striver, newly arrived in the heady world of Manhattan in the 1950s. A product of a broken home, branded a ""sissy"" by his dismissive Aunt Dottie, Ripley becomes enamored of the moneyed world of his new friend, Dickie Greenleaf. This fondness turns obsessive when Ripley is sent to Italy to bring back his libertine pal but grows enraged by Dickie's ambivalent feelings for Marge, a charming American dilettante. A dark reworking of Henry James's The Ambassadors, The Talented Mr. Ripleyâis up to his tricks in a 90s film and also Rene Clement's 60s film, ""Purple Noon."""
"Under the Net","9780140014457","https://www.goodreads.com/buy_buttons/12/follow?book_id=11324&ref=x_gr_w_bb&tag=x_gr_w_bb-20","Jake Donaghue, garrulous artist, meets Hugo Belfounder, silent philosopher.Jake, hack writer and sponger, now penniless flat-hunter, seeks out an old girlfriend, Anna Quentin, and her glamorous actress sister, Sadie. He resumes acquaintance with formidable Hugo, whose âphilosophyâ he once presumptuously dared to interpret. These meetings involve Jake and his eccentric servant-companion, Finn, in a series of adventures that include the kidnapping of a film-star dog and a political riot in a film-set of ancient Rome. Jake, fascinated, longs to learn Hugoâs secret. Perhaps Hugoâs secret is Hugo himself? Admonished, enlightened, Jake hopes at last to become a real writer."
