"Book Title","ISBN","Amazon URL","GoodReads Description","Wikipedia Description","Readgeek Description"
"Wayward (Wayward Pines, #2)","9781503946606","https://www.goodreads.com/buy_buttons/12/follow?book_id=19438157&ref=x_gr_w_bb&tag=x_gr_w_bb-20","The second book in the Wayward Pines Series√¢¬Ä¬înow a Major Television Event from executive producer M. Night Shyamalan, starring Matt Dillon Thursdays on FOX or catch up on Amazon Instant Video.Welcome to Wayward Pines, population 461. Nestled amid picture-perfect mountains, the idyllic town is a modern-day Eden√¢¬Ä¬¶except for the electrified fence and razor wire, snipers scoping everything 24/7, and the relentless surveillance tracking each word and gesture. None of the residents know how they got here. They are told where to work, how to live, and who to marry. Some believe they are dead. Others think they√¢¬Ä¬ôre trapped in an unfathomable experiment. Everyone secretly dreams of leaving, but those who dare face a terrifying surprise. Ethan Burke has seen the world beyond. He√¢¬Ä¬ôs sheriff, and one of the few who knows the truth√¢¬Ä¬îWayward Pines isn√¢¬Ä¬ôt just a town. And what lies on the other side of the fence is a nightmare beyond anyone√¢¬Ä¬ôs imagining.","Wayward is an ongoing comic book series written by Jim Zub, colored by Tamra Bonvillain, with Flats by Ludwig Olimba, and letters by Marshall Dillon. It started being published by Image Comics in 2014.","The international runaway bestsellers that inspired the most watched summer show of 2015. From executive producer M. Night Shyamalan, Wayward Pines returns May 25th, 2016 and airs Wednesdays at 9/8c on FOX. Secret service agent Ethan Burke arrives in Wayward Pines, Idaho, with a clear mission: locate and recover two federal agents who went missing in the bucolic town one month earlier. But within minutes of his arrival, Ethan is involved in a violent accident. He comes to in a hospital, with no ID, no cell phone, and no briefcase. The medical staff seems friendly enough, but something feels…off. As the days pass, Ethan’s investigation into the disappearance of his colleagues turns up more questions than answers. Why can’t he get any phone calls through to his wife and son in the outside world? Why doesn’t anyone believe he is who he says he is? And what is the purpose of the electrified fences surrounding the town? Are they meant to keep the residents in? Or something else out? Each step closer to the truth takes Ethan further from the world he thought he knew, from the man he thought he was, until he must face a horrifying fact—he may never get out of Wayward Pines alive. 2013 International Thriller Award Nominee"
"Homo Deus: A Brief History of Tomorrow","9781973981978","https://www.goodreads.com/buy_buttons/12/follow?book_id=31138556&ref=x_gr_w_bb&tag=x_gr_w_bb-20","Yuval Noah Harari, author of the critically-acclaimed New York Times bestseller and international phenomenon Sapiens, returns with an equally original, compelling, and provocative book, turning his focus toward humanity√¢¬Ä¬ôs future, and our quest to upgrade humans into gods.Over the past century humankind has managed to do the impossible and rein in famine, plague, and war. This may seem hard to accept, but, as Harari explains in his trademark style√¢¬Ä¬îthorough, yet riveting√¢¬Ä¬îfamine, plague and war have been transformed from incomprehensible and uncontrollable forces of nature into manageable challenges. For the first time ever, more people die from eating too much than from eating too little; more people die from old age than from infectious diseases; and more people commit suicide than are killed by soldiers, terrorists and criminals put together. The average American is a thousand times more likely to die from binging at McDonalds than from being blown up by Al Qaeda.What then will replace famine, plague, and war at the top of the human agenda? As the self-made gods of planet earth, what destinies will we set ourselves, and which quests will we undertake? Homo Deus√Ç¬†explores the projects, dreams and nightmares that will shape the twenty-first century√¢¬Ä¬îfrom overcoming death to creating artificial life. It asks the fundamental questions: Where do we go from here? And how will we protect this fragile world from our own destructive powers? This is the next stage of evolution. This is√Ç¬†Homo Deus.With the same insight and clarity that made Sapiens an international hit and a New York Times bestseller, Harari maps out our future.","",""
"Aethra e L'altra mamma","-1","https://www.goodreads.com/buy_buttons/15/follow?book_id=21842890&ref=x_gr_w_bb&tag=x_gr_w_bb_ca-20","Aethra: racconto Vincitore del premio internazionale Aeon 2010 della rivista Albedo One. Dal vincitore dell'Aeon Award - Michalis Manolios - un racconto intenso e inquietante che parte come un'indagine sull'omicidio di un critico d'arte per arrivare a toccare i temi della clonazione umana e della responsabilit√É¬† individuale. La Villa di Aethra infatti, non solo √É¬® il luogo del delitto, ma anche la fucina dove si creano ""soggetti d'arte"" al cui interno √É¬® intrappolata una copia ""senziente"" della padrona di casa. Spetta al commissario Costas stabilire chi √É¬® il colpevole, cosa √É¬® realmente accaduto nella villa e soprattutto perch√É¬©. L'altra mamma Un viaggio nello spazio finisce in modo inaspettato: il dispositivo di teletrasporto che dovrebbe portare l'astronauta Armelina su Europa II si guasta e la donna scopre di essersi ""replicata"": una √É¬® rimasta sulla Terra e l'altra √É¬® giunta a destinazione. Agape, la figlia di Armelina, dar√É¬† inizio a questo splendido racconto ""quantistico"" con una semplice domanda: ""Chi √É¬® la mia vera mamma?"" Hanno detto di Aethra: ""Non mi √É¬® mai piaciuta la fantascienza fino a quando non ho letto questo libro. Non ci sono abbastanza parole per descrivere quanto √É¬® incredibilmente toccante e vero da fare male. Un capolavoro per la narrativa greca. Il mio racconto preferito √É¬® ""Aethra"". Spero davvero che uscir√É¬† una versione internazionale di questo libro, se lo merita!"" Sonya Christine (GoodReads, 20/1/2012) ""La fantascienza di Michalis Manolios √É¬® capace di molestare il corpo e fare l'anima a pezzi."" Dino Hajiyorgi (SFF.gr, 29/11/2009) ""Gli eroi e le eroine di Manolios trasudano una sensazione di umanit√É¬† davvero profonda: caustici e coincisi, oppressi da un'autorit√É¬† onnipresente - sia in termini tecnologici che scientifici - loro non smettono di combattere le loro piccole batteglie contro la perdita di controllo che subiscono, e continuano a fare le scelte giuste a dispetto di tutte le sfide."" Panagiotis Chatzimoisiadis (Avgi, 3/10/2010)","",""
"The 78-Storey Treehouse (The Treehouse Series)","9781489382023","https://www.goodreads.com/buy_buttons/12/follow?book_id=29613753&ref=x_gr_w_bb&tag=x_gr_w_bb-20","The brand new book in the bestselling Treehouse series!Join Andy and Terry in their spectacular new 78-storey treehouse. They've added 13 new levels including a drive-thru car wash, a combining machine, a scribbletorium, an ALL-BALL sports stadium, Andyland, Terrytown, a high-security potato chip storage facility and an open-air movie theatre. Well, what are you waiting for? Come on up!","The 13-Story Treehouse is a 2011 book[1] written by author Andy Griffiths and illustrated by Terry Denton,[2] and a stage play based on the book.[3] The story follows Andy and Terry, who are living in a 13-story treehouse, struggling to finish their book on time among many distractions, and their friend Jill, who lives in a house full of animals and often visits them. According to the book, the 13-story treehouse has ""a bowling alley, a see-through swimming pool, a tank full of man-eating sharks, a secret underground laboratory, a vegetable vaporizer, and a marshmallow machine that shoots marshmallows into your mouths when it sees that you are hungry"".",""
"The Ballad of Black Tom","9780765387868","https://www.goodreads.com/buy_buttons/12/follow?book_id=26975675&ref=x_gr_w_bb&tag=x_gr_w_bb-20","People move to New York looking for magic and nothing will convince them it isn't there.Charles Thomas Tester hustles to put food on the table, keep the roof over his father's head, from Harlem to Flushing Meadows to Red Hook. He knows what magic a suit can cast, the invisibility a guitar case can provide, and the curse written on his skin that attracts the eye of wealthy white folks and their cops. But when he delivers an occult tome to a reclusive sorceress in the heart of Queens, Tom opens a door to a deeper realm of magic, and earns the attention of things best left sleeping.A storm that might swallow the world is building in Brooklyn. Will Black Tom live to see it break?""LaValle's novella of sorcery and skullduggery in Jazz Age New York is a magnificent example of what weird fiction can and should do."" √¢¬Ä¬î Laird Barron, author of The Beautiful Thing That Awaits Us All""[LaValle] reinvents outmoded literary conventions, particularly the ghettos of genre and ethnicity that long divided serious literature from popular fiction.""√¢¬Ä¬î Praise for The Devil in Silver from Elizabeth Hand, author of Radiant Days","The Ballad of Black Tom is a 2016 fantasy/horror novella by Victor LaValle, revisiting H.P. Lovecraft's story ""The Horror at Red Hook"" from the viewpoint of a black man.","One of NPR's Best Books of 2016, winner of the Shirley Jackson Award, the British Fantasy Award, the This is Horror Award for Novella of the Year, and a finalist for the Hugo, Nebula, Locus, World Fantasy, and Bram Stoker AwardsPeople move to New York looking for magic and nothing will convince them it isn't there.Charles Thomas Tester hustles to put food on the table, keep the roof over his father's head, from Harlem to Flushing Meadows to Red Hook. He knows what magic a suit can cast, the invisibility a guitar case can provide, and the curse written on his skin that attracts the eye of wealthy white folks and their cops. But when he delivers an occult tome to a reclusive sorceress in the heart of Queens, Tom opens a door to a deeper realm of magic, and earns the attention of things best left sleeping.A storm that might swallow the world is building in Brooklyn. Will Black Tom live to see it break?""LaValle's novella of sorcery and skullduggery in Jazz Age New York is a magnificent example of what weird fiction can and should do."" ― Laird Barron, author of The Beautiful Thing That Awaits Us All""[LaValle] reinvents outmoded literary conventions, particularly the ghettos of genre and ethnicity that long divided serious literature from popular fiction.""― Praise for The Devil in Silver from Elizabeth Hand, author of Radiant Days “LaValle cleverly subverts Lovecraft’s Cthulhu mythos by imbuing a black man with the power to summon the Old Ones, and creates genuine chills with his evocation of the monstrous Sleeping King, an echo of Lovecraft’s Dagon… [The Ballad of Black Tom] has a satisfying slingshot ending.” – Elizabeth Hand for Fantasy & ScienceFiction"
"The Revolution Was Televised: The Cops, Crooks, Slingers and Slayers Who Changed TV Drama Forever","9780615718293","https://www.goodreads.com/buy_buttons/12/follow?book_id=16137527&ref=x_gr_w_bb&tag=x_gr_w_bb-20","A mob boss in therapy. An experimental, violent prison unit. The death of an American city, as seen through a complex police investigation. A lawless frontier town trying to talk its way into the United States. A corrupt cop who rules his precinct like a warlord. The survivors of a plane crash trying to make sense of their disturbing new island home. A high school girl by day, monster fighter by night. A spy who never sleeps. A space odyssey inspired by 9/11. An embattled high school football coach. A polished ad exec with a secret. A chemistry teacher turned drug lord.These are the subjects of 12 shows that started a revolution in TV drama: The Sopranos. Oz. The Wire. Deadwood. The Shield. Lost. Buffy the Vampire Slayer. 24. Battlestar Galactica. Friday Night Lights. Mad Men. Breaking Bad.These 12 shows, and the many more they made possible, ushered in a new golden age of television √¢¬Ä¬î one that made people take the medium more seriously than ever before. Alan Sepinwall became a TV critic right before this creative revolution began, was there to chronicle this incredible moment in pop culture history, and along the way √¢¬Ä¬úchanged the nature of television criticism,√¢¬Ä¬ù according to Slate. The Revolution Was Televised is the story of these 12 shows, as told by Sepinwall and the people who made them, including David Chase, David Simon, David Milch, Damon Lindelof and Carlton Cuse, Vince Gilligan and more.","The Revolution Will Not Be Televised: Democracy, the Internet, and the Overthrow of Everything (ISBN 0-06-076155-5) is a book written by Joe Trippi and published in 2004 by ReganBooks.[1][2][3][4] The book describes Trippi's steps while running the campaign for Howard Dean on the internet in 2004. Trippi argues that the internet has changed politics and democracy and how politicians can and will use the internet for their campaigns. According to Ezra Klein, the book is less a memoir than an analysis of how to campaign successfully.[2]",""
"I'm Not Your Manic Pixie Dream Girl","9780062409119","https://www.goodreads.com/buy_buttons/15/follow?book_id=28450420&ref=x_gr_w_bb&tag=x_gr_w_bb_ca-20","From acclaimed author Gretchen McNeil comes her first realistic contemporary romance√¢¬Ä¬îperfect for fans of Kody Keplinger√¢¬Ä¬ôs√Ç¬†The Duff√Ç¬†and Morgan Matson√¢¬Ä¬ôs Since You've Been Gone.Beatrice Maria Estrella Giovannini has life all figured out. She's starting senior year at the top of her class, she√¢¬Ä¬ôs a shoo-in for a scholarship to M.I.T., and she√¢¬Ä¬ôs got a new boyfriend she√¢¬Ä¬ôs crazy about.√Ç¬†The only problem: All through high school Bea and her best friends Spencer and Gabe have been the targets of horrific bullying.So Bea uses her math skills to come up with The Formula, a 100% mathematically guaranteed path to social happiness in high school. Now Gabe is on his way to becoming Student Body President, and Spencer is finally getting his art noticed. But when her boyfriend Jesse dumps her for Toile, the quirky new girl at school, Bea realizes it's time to use The Formula for herself.√Ç¬†She'll be reinvented as the eccentric and lovable Trixie√¢¬Ä¬îa quintessential manic pixie dream girl√¢¬Ä¬îin order to win Jesse back and beat new-girl Toile at her own game.Unfortunately, being a manic pixie dream girl isn't all it's cracked up to be, and √¢¬Ä¬úTrixie√¢¬Ä¬ù is causing unexpected consequences for her friends.√Ç¬†As The Formula begins to break down, can Bea find a way to reclaim her true identity and fix everything she's messed up?√Ç¬†Or will the casualties of her manic pixie experiment go far deeper than she could possibly imagine?","Manic Pixie Dream Girl (MPDG) is a stock character type in films. Film critic Nathan Rabin, who coined the term after observing Kirsten Dunst's character in Elizabethtown (2005), said that the MPDG ""exists solely in the fevered imaginations of sensitive writer-directors to teach broodingly soulful young men to embrace life and its infinite mysteries and adventures.""[1] MPDGs are said to help their men without pursuing their own happiness, and such characters never grow up; thus, their men never grow up.[2]","New York Times bestselling author Maureen Johnson’s funny, heartbreaking, and utterly romantic tale gets a great new cover!Ginny Blackstone never thought she’d spend her summer vacation backpacking across Europe. But that was before she received the first little blue envelope from Aunt Peg.This letter was different from Peg’s usual letters for two reasons:1. Peg had been dead for three months.2. The letter included $1000 cash for a passport and a plane ticket.Armed with instructions for how to retrieve twelve other letters Peg wrote—twelve letters that tell Ginny where she needs to go and what she needs to do when she gets there—Ginny quickly finds herself swept away in her first real adventure. Traveling from London to Edinburgh to Amsterdam and beyond, Ginny begins to uncover stories from her aunt’s past and discover who Peg really was. But the most surprising thing Ginny learns isn’t about Peg . . . it’s about herself.Everything about Ginny will change this summer, and it’s all because of the 13 little blue envelopes.Look for the sequel, The Last Little Blue Envelope!"
"Sjukdomen (Torka aldrig t√É¬•rar utan handskar, #2)","-1","https://www.goodreads.com/buy_buttons/12/follow?book_id=16104565&ref=x_gr_w_bb&tag=x_gr_w_bb-20","De er en slags familie, erkeskrulla Paul, Lars-√É¬Öke og Seppo, Reine med sin tr√É¬∏blete fortid p√É¬• den lille bohusl√É¬§nske √É¬∏ya, og vakre Bengt, som vil bli filmstjerne. Hvert √É¬•r feirer de jul hos Paul. Det er der Benjamin og Rasmus m√É¬∏tes og blir glad i hverandre. De skal ofre alt for kj√É¬¶rligheten. T√É¬∏rk aldri t√É¬•rer uten hansker - Sykdommen er andre bok i en serie p√É¬• tre, om da aids kom til Sverige og Stockholm p√É¬• 80-tallet. Tredje og siste bind februar 2014. Jonas Gardell (1963), er forfatter, komiker, dramatiker og √É¬¶ressdoktor i teologi. I 1985 debuterte han med Passionsspelet og har siden utgitt en rekke b√É¬∏ker.","",""
"The End of the Sentence","9781891305054","https://www.goodreads.com/buy_buttons/15/follow?book_id=23354641&ref=x_gr_w_bb&tag=x_gr_w_bb_ca-20","It begins with a letter from a prisoner√¢¬Ä¬¶ As he attempts to rebuild his life in rural Oregon after a tragic accident, Malcolm Mays finds himself corresponding with Dusha Chuchonnyhoof, a mysterious entity who claims to be the owner of Malcolm's house, jailed unjustly for 117 years. The prisoner demands that Malcolm perform a gory, bewildering task for him. As the clock ticks toward Dusha's release, Malcolm must attempt to find out whether he's assisting a murderer or an innocent.√Ç¬†The End of the Sentence√Ç¬†combines Kalapuya, Welsh, Scottish and Norse mythology, with a dark imagined history of the hidden corners of the American West. Maria Dahvana Headley and Kat Howard have forged a fairytale of ghosts and guilt, literary horror blended with the visuals of Jean Cocteau, failed executions, shapeshifting goblins, and magical blacksmithery. In Chuchonnyhoof, they've created a new kind of Beast, longing, centuries later, for Beauty.","The End of Alice is a 1996 novel by American writer A. M. Homes. It was published in the United States by Homes Scribner and in the United Kingdom by Anchor UK.",""
"Simply Irresistible (Lucky Harbor, #1)","9780446571616","https://www.goodreads.com/buy_buttons/12/follow?book_id=9419029&ref=x_gr_w_bb&tag=x_gr_w_bb-20","Maddie Moore's whole life needs a makeover.In one fell swoop, Maddie loses her boyfriend (her decision) and her job (so not her decision). But rather than drowning her sorrows in bags of potato chips, Maddie leaves L.A. to claim the inheritance left by her free-spirited mother√¢¬Ä¬îa ramshackle inn nestled in the little coastal town of Lucky Harbor, Washington.Starting over won't be easy. Yet Maddie sees the potential for a new home and a new career√¢¬Ä¬îif only she can convince her two half-sisters to join her in the adventure. But convincing Tara and Chloe will be difficult because the inn needs a big makeover too.The contractor Maddie hires is a tall, dark-haired hottie whose eyes√¢¬Ä¬îand mouth√¢¬Ä¬îare making it hard for her to remember that she's sworn off men. Even harder will be Maddie's struggles to overcome the past, though she's about to discover that there's no better place to call home than Lucky Harbor.","""Simply Irresistible"" is the first single released by English rock singer Robert Palmer from the 1988 studio album Heavy Nova and is presented in one of the most distinctive and memorable music videos of the 1980s.","Simply Irresistible is a book written by Jill Shalvis."
"The Last Girl (The Dominion Trilogy, #1)","9781503952089","https://www.goodreads.com/buy_buttons/12/follow?book_id=27419654&ref=x_gr_w_southomepage_bp_sout_bb&tag=x_gr_w_southomepage_bp_sout_bb-20","A mysterious worldwide epidemic reduces the birthrate of female infants from 50 percent to less than 1 percent. Medical science and governments around the world scramble in an effort to solve the problem, but twenty-five years later there is no cure, and an entire generation grows up with a population of fewer than a thousand women.Zoey and some of the surviving young women are housed in a scientific research compound dedicated to determining the cause. For two decades, she√¢¬Ä¬ôs been isolated from her family, treated as a test subject, and locked away√¢¬Ä¬îtold only that the virus has wiped out the rest of the world√¢¬Ä¬ôs population.Captivity is the only life Zoey has ever known, and escaping her heavily armed captors is no easy task, but she√¢¬Ä¬ôs determined to leave before she is subjected to the next round of tests√¢¬Ä¬¶a program that no other woman has ever returned from. Even if she√¢¬Ä¬ôs successful, Zoey has no idea what she√¢¬Ä¬ôll encounter in the strange new world beyond the facility√¢¬Ä¬ôs walls. Winning her freedom will take brutality she never imagined she possessed, as well as all her strength and cunning√¢¬Ä¬îbut Zoey is ready for war.","The Last Girl is the first novel of English author Stephan Collishaw. It tells the story of an elderly poet living in Vilnius in the 1990s, who is troubled by a guilty secret from his youth. The novel is set partly in 1990s Vilnius and partly in war time Wilno and deals with the holocaust in Lithuania.",""
"After You (Me Before You, #2)","9781508909101","https://www.goodreads.com/buy_buttons/12/follow?book_id=25041504&ref=x_gr_w_bb&tag=x_gr_w_bb-20","√¢¬Ä¬úYou√¢¬Ä¬ôre going to feel uncomfortable in your new world for a bit. But I hope you feel a bit exhilarated too. Live boldly. Push yourself. Don√¢¬Ä¬ôt settle. Just live well. Just live. Love, Will.√¢¬Ä¬ùHow do you move on after losing the person you loved? How do you build a life worth living?Louisa Clark is no longer just an ordinary girl living an ordinary life. After the transformative six months spent with Will Traynor, she is struggling without him. When an extraordinary accident forces Lou to return home to her family, she can√¢¬Ä¬ôt help but feel she√¢¬Ä¬ôs right back where she started.Her body heals, but Lou herself knows that she needs to be kick-started back to life. Which is how she ends up in a church basement with the members of the Moving On support group, who share insights, laughter, frustrations, and terrible cookies. They will also lead her to the strong, capable Sam Fielding√¢¬Ä¬îthe paramedic, whose business is life and death, and the one man who might be able to understand her. Then a figure from Will√¢¬Ä¬ôs past appears and hijacks all her plans, propelling her into a very different future...For Lou Clark, life after Will Traynor means learning to fall in love again, with all the risks that brings. But here Jojo Moyes gives us two families, as real as our own, whose joys and sorrows will touch you deeply, and where both changes and surprises await.","After You is a romance novel written by Jojo Moyes, a sequel to Me Before You. The book was first published on 29 September 2015 in the United Kingdom.[1] A second sequel, Still Me, was published in January 2018.[2]",""
"The Barkeep","9781610392600","https://www.goodreads.com/buy_buttons/12/follow?book_id=18882072&ref=x_gr_w_hasdeal_bb&tag=x_gr_w_hasdeal_bb-20","Justin Chase is the perfect barkeep, tending bar as he lives his life, in a state of Zen serenity, until Birdie Grackle, a foul-mouthed alcoholic, walks into his bar and makes a startling confession. Six years ago Justin's life was ripped apart when he discovered his mother's bludgeoned corpse. Now Justin's father is serving a life sentence and Justin drowns his emotions in a pool of inner peace. But when Birdie claims he murdered Justin's mother for cash, Justin is hurled back to the emotions, back to the past, and, most frightening of all, back to the father he tried to leave behind. WHO HIRED BIRDIE GRACKLE TO KILL JUSTIN?S MOTHER? As Justin pieces together the truth, a killing machine stalks Justin, leaving a trail of dead in his wake. Someone wants to bury the truth, and maybe Justin, too. Justin had better find some answers quick, because murder is just not Zen.","","An Amazon Best Book of the Month, November 2014: When the Soviet Union collapsed in the early 90s, the West rejoiced with the relief that came with the end of the Cold War and the possibility of an era of peace and cooperation. At the same time, its corporations and conglomerates trained a beady eye toward its newly opened markets, and a seemingly virgin economic landscape soon became home to icons such as Coke and McDonalds and Levi’s. But the door was open wide, and tagging along with big business were some seedier characters: organized crime, a youth-and-glamour-obsessed oligarchy, and an entertainment complex hungry for the new concepts of its Western counterparts. That’s where Peter Pomerantsev comes in. Born in Kiev but raised in Great Britain, Pomerantsev returned to Russia as a consultant to its burgeoning film and television—especially “reality” television—industries. What he found was a capitalist’s wet dream: an unfettered cash and service economy with no apparent limits on cash or available services--one where everything is possible, if you can pay for it. At the top of it all sits Vlad Putin, infusing the old TASS tactics with Hollywood flair to create a vision of a bare-chested (bear-chested?) virility and power, of both self and state. Pomerantsev finds himself gazing deeper into this looking-glass world—willingly and otherwise—and he finds it impossible to look away, as will his readers. This is not your father’s Russia, and yet it kind of is.--Jon Foro"
"It'll Feel Better when it Quits Hurting (Okay, Picture This, #1)","-1","https://www.goodreads.com/buy_buttons/15/follow?book_id=26844284&ref=x_gr_w_bb&tag=x_gr_w_bb_ca-20","Many years ago my friends and I would sit around and play what we called ""Jerry Springer: the Home Game"". The object of the game was to see how many upcoming shows we qualified for, with the story to support our claim, and whoever had the most at the end of the program won. I was the reigning champion. This book started off as just a lighthearted collection of antidotes, stories shared with friends over the years to both the horror and delight of my audience. But as I began to write I realized that the humor of my life comes not from the light moments, but the dark, and without those moments being included much of the humor would be lost without that context. This book is a bit darker than I initially intended, but I hope that while reading this I can make you smile, even on occasion laugh out loud at the ridiculousness of the situations I have found myself in over the years, and that you, like me, can find the humor in all the dark places. I do not believe I have any wisdom to share in this telling, nor is it even an inspirational tale of achievement by overcoming adversity, it is simply my life that I have survived. For better or worse, this is the mostly true, fairly accurate, and almost completely factual account of my life. Some liberties have been taken to protect the somewhat innocent and a few small embellishments were made for the sake of a good story.","",""
"The House of Silk (Sherlock Holmes #1)","9781409157243","https://www.goodreads.com/buy_buttons/12/follow?book_id=12417076&ref=x_gr_w_bb&tag=x_gr_w_bb-20","For the first time in its one-hundred-and-twenty-five-year history, the Arthur Conan Doyle Estate has authorized a new Sherlock Holmes novel.Once again, THE GAME√¢¬Ä¬ôS AFOOT√¢¬Ä¬¶London, 1890. 221B Baker St. A fine art dealer named Edmund Carstairs visits Sherlock Holmes and Dr John Watson to beg for their help. He is being menaced by a strange man in a flat cap √¢¬Ä¬ì a wanted criminal who seems to have followed him all the way from America. In the days that follow, his home is robbed, his family is threatened. And then the first murder takes place.Almost unwillingly, Holmes and Watson find themselves being drawn ever deeper into an international conspiracy connected to the teeming criminal underworld of Boston, the gaslit streets of London, opium dens and much, much more. And as they dig, they begin to hear the whispered phrase-the House of Silk-a mysterious entity that connects the highest levels of government to the deepest depths of criminality. Holmes begins to fear that he has uncovered a conspiracy that threatens to tear apart the very fabric of society.The Arthur Conan Doyle Estate chose the celebrated, #1 New York Times bestselling author Anthony Horowitz to write The House of Silk because of his proven ability to tell a transfixing story and for his passion for all things Holmes. Destined to become an instant classic, The House of Silk brings Sherlock Holmes back with all the nuance, pacing, and almost superhuman powers of analysis and deduction that made him the world√¢¬Ä¬ôs greatest detective, in a case depicting events too shocking, too monstrous to ever appear in print√¢¬Ä¬¶until now.--mulhollandbooks.com","The House of Silk is a Sherlock Holmes novel written by British author Anthony Horowitz, published in 2011. The book was promoted with the claim it was the first time the Conan Doyle Estate had authorised a new non-Doyle Sherlock Holmes pastiche.[1][2][3]",""
"White Knight Dom Academy (White Knight Dom Academy, #1)","-1","https://www.goodreads.com/buy_buttons/13/follow?book_id=23494875&ref=x_gr_w_bb&tag=x_gr_w_bb_uk-21","Synopsis:Lucian and Tara may have won Dom Wars and the Million--two, in fact--but they didn't realize they'd be the reigning Mr. and Mrs. Dildo USA.As the new ""Faces"" of the large adult-toy company, they're required to train at least five couples within five years, in the art of Dominance and submission. In addition to selling X amount of Gladiator toys.Only problem is, Gramma isn't leaving Maplewood, Missouri, which means they'll have to conduct Undercover Operation-Kink in Tara's stuck-up, religious hometown, without getting caught and having the entire family thrown out.But two million dollars is two million dollars, and Lucian and Tara didn't come all this way to forfeit everything they sacrificed. So, the plan is to Dom and sub up, find a way to pull this kink-heist off, and collect their winnings. And with the help of his good friend Steve, he's sure they can manage anything.","Nightmare Academy is a 2002 Christian fictional novel by Frank Peretti and the second novel in the Veritas Project series authored by Frank Peretti. The book was one of the ALA's young adult book picks for 2004.[1]",""
"Richard Nixon: The Life","9780340776582","https://www.goodreads.com/buy_buttons/15/follow?book_id=32872961&ref=x_gr_w_bb&tag=x_gr_w_bb_ca-20","From a prize-winning biographer comes the defining portrait of a man who led America in a time of turmoil and left us a darker age. We live today, John A. Farrell shows, in a world Richard Nixon made. √Ç¬† At the end of WWII, navy lieutenant √¢¬Ä¬úNick√¢¬Ä¬ù Nixon returned from the Pacific and set his cap at Congress, an idealistic dreamer seeking to build a better world. Yet amid the turns of that now-legendary 1946 campaign, Nixon√¢¬Ä¬ôs finer attributes gave way to unapologetic ruthlessness. The story of that transformation is the stunning overture to John A. Farrell√¢¬Ä¬ôs magisterial biography of the president who came to embody postwar American resentment and division.√Ç¬† √Ç¬† √Ç¬†Within four years of his first victory, Nixon was a U.S. senator; in six, the vice president of the United States of America. √¢¬Ä¬úFew came so far, so fast, and so alone,√¢¬Ä¬ù Farrell writes. Nixon√¢¬Ä¬ôs sins as a candidate were legion; and in one unlawful secret plot, as Farrell reveals here, Nixon acted to prolong the Vietnam War for his own political purposes. Finally elected president in 1969, Nixon packed his staff with bright young men who devised forward-thinking reforms addressing health care, welfare, civil rights, and protection of the environment. It was a fine legacy, but Nixon cared little for it. He aspired to make his mark on the world stage instead, and his 1972 opening to China was the first great crack in the Cold War.√Ç¬† √Ç¬† √Ç¬†Nixon had another legacy, too: an America divided and polarized. He was elected to end the war in Vietnam, but his bombing of Cambodia and Laos enraged the antiwar movement. It was Nixon who launched the McCarthy era, who played white against black with a √¢¬Ä¬úsouthern strategy,√¢¬Ä¬ù and spurred the Silent Majority to despise and distrust the country√¢¬Ä¬ôs elites. Ever insecure and increasingly paranoid, he persuaded Americans to gnaw, as he did, on grievances√¢¬Ä¬îand to look at one another as enemies. Finally, in August 1974, after two years of the mesmerizing intrigue and scandal of Watergate, Nixon became the only president to resign in disgrace.√Ç¬† √Ç¬† √Ç¬†Richard Nixon is a gripping and unsparing portrayal of our darkest president. Meticulously researched, brilliantly crafted, and offering fresh revelations, it will be hailed as a master work.","Richard Milhous Nixon (January 9, 1913 – April 22, 1994) was the 37th President of the United States, serving from 1969 until 1974, when he resigned from office, the only U.S. president to do so. He had previously served as the 36th Vice President of the United States from 1953 to 1961, and prior to that as a U.S. Representative and also Senator from California.",""
"The 65-Storey Treehouse","9781447287599","https://www.goodreads.com/buy_buttons/12/follow?book_id=25588817&ref=x_gr_w_bb&tag=x_gr_w_bb-20","Andy and Terry's amazing 65-Storey Treehouse now has a pet-grooming salon, a birthday room where it's always your birthday (even when it's not), a room full of exploding eyeballs, a lollipop shop, a quicksand pit, an ant farm, a time machine and Tree-NN: a 24-hour-a-day TV news centre keeping you up to date with all the latest treehouse news, current events and gossip. Well, what are you waiting for? Come on up!","The 13-Story Treehouse is a 2011 book[1] written by author Andy Griffiths and illustrated by Terry Denton,[2] and a stage play based on the book.[3] The story follows Andy and Terry, who are living in a 13-story treehouse, struggling to finish their book on time among many distractions, and their friend Jill, who lives in a house full of animals and often visits them. According to the book, the 13-story treehouse has ""a bowling alley, a see-through swimming pool, a tank full of man-eating sharks, a secret underground laboratory, a vegetable vaporizer, and a marshmallow machine that shoots marshmallows into your mouths when it sees that you are hungry"".",""
